trade_id,timestamp_et,symbol,sig,atr_scale,entry_px,exit_px,exit_reason,pnl_pct,holding_bars,result
c2b3ba3b,2026-05-07 12:46:00,QQQ,0.291,0.928,696.1048,693.8942,신호소멸,-0.003176,0,0.0
bfbb4009,2026-05-07 12:54:00,QQQ,0.4337,0.928,695.6048,693.8942,신호소멸,-0.002459,0,0.0
89bb4487,2026-05-07 14:03:00,QQQ,0.3786,0.928,695.2548,694.92,신호소멸,-0.000482,0,0.0
974a988b,2026-05-07 14:31:00,QQQ,0.2696,0.928,694.6347,694.71,신호소멸,0.000108,0,1.0
858f4917,2026-05-07 14:53:00,QQQ,0.2454,0.928,693.1747,693.75,신호소멸,0.00083,0,1.0
d0fea92f,2026-05-07 15:05:00,QQQ,0.2031,0.928,693.6447,693.83,신호소멸,0.000267,0,1.0
26196b87,2026-05-07 15:17:00,QQQ,0.2919,0.928,694.1946,693.74,신호소멸,-0.000655,0,0.0
c580c9c3,2026-05-07 15:23:00,QQQ,0.3695,0.928,693.1947,693.74,신호소멸,0.000787,0,1.0
3f470926,2026-05-08 10:06:00,QQQ,0.3524,0.923,705.7053,704.79,신호소멸,-0.001297,0,0.0
f9e08071,2026-05-08 10:36:00,QQQ,0.5339,0.923,704.8702,705.49,신호소멸,0.000879,0,1.0
7849c2df,2026-05-08 10:50:00,QQQ,0.4111,0.923,706.3552,706.68,신호소멸,0.00046,0,1.0
518136b6,2026-05-08 11:06:00,QQQ,0.2407,0.923,706.9853,706.6861,신호소멸,-0.000423,0,0.0
e0e64859,2026-05-08 11:25:00,QQQ,0.3585,0.923,706.8053,707.21,신호소멸,0.000573,0,1.0
4aa11027,2026-05-08 12:00:00,QQQ,0.2721,0.923,707.4754,707.47,신호소멸,-8e-06,0,0.0
1b890cd8,2026-05-08 12:07:00,QQQ,0.4215,0.923,707.7654,707.47,신호소멸,-0.000417,0,0.0
d8af1382,2026-05-08 12:14:00,QQQ,0.2013,0.923,707.9554,708.01,신호소멸,7.7e-05,0,1.0
50b77e1b,2026-05-08 12:22:00,QQQ,0.5216,0.923,708.1554,708.56,신호소멸,0.000571,0,1.0
8d2524e8,2026-05-08 13:05:00,QQQ,0.2816,0.923,709.7655,709.895,신호소멸,0.000182,0,1.0
134c7125,2026-05-08 13:30:00,QQQ,0.2294,0.923,710.2455,709.55,신호소멸,-0.000979,0,0.0
550ecdb4,2026-05-08 14:02:00,QQQ,0.2409,0.923,709.7955,709.5456,신호소멸,-0.000352,0,0.0
85de23b1,2026-05-08 14:16:00,QQQ,0.4013,0.923,709.5355,709.55,신호소멸,2e-05,0,1.0
ecfcef40,2026-05-08 14:37:00,QQQ,0.2959,0.923,709.6855,709.28,신호소멸,-0.000571,0,0.0
a7263c73,2026-05-08 15:14:00,QQQ,0.2184,0.923,709.9655,709.95,신호소멸,-2.2e-05,0,0.0
33fe3bd3,2026-05-08 15:29:00,QQQ,0.3821,0.923,709.3755,709.52,신호소멸,0.000204,0,1.0
e56b8bc4,2026-05-08 15:43:00,QQQ,0.2529,0.923,710.0305,710.11,EOD_REDUCE_50%,0.000112,0,1.0
4e542da7,2026-05-11 09:52:00,QQQ,0.2346,1.003,711.4856,710.8301,신호소멸,-0.000921,0,0.0
e16fb0c8,2026-05-11 10:04:00,QQQ,0.211,1.003,711.6056,711.62,신호소멸,2e-05,0,1.0
39bf6be1,2026-05-11 10:35:00,QQQ,0.3461,1.003,710.5855,711.62,신호소멸,0.001456,0,1.0
4ba37de5,2026-05-11 10:48:00,QQQ,0.3497,1.003,712.0856,712.85,신호소멸,0.001073,0,1.0
9014cec3,2026-05-11 11:28:00,QQQ,0.2389,1.003,713.0857,713.09,신호소멸,6e-06,0,1.0
cc20dcdc,2026-05-11 12:34:00,QQQ,0.2174,1.003,714.1857,714.24,신호소멸,7.6e-05,0,1.0
2b28f6fe,2026-05-11 13:32:00,QQQ,0.3294,1.003,713.753,714.24,신호소멸,0.000682,0,1.0
2ac40d34,2026-05-11 14:04:00,QQQ,0.3071,1.003,714.0457,714.3,신호소멸,0.000356,0,1.0
13b2cd19,2026-05-11 14:41:00,QQQ,0.3485,1.003,713.8357,713.75,신호소멸,-0.00012,0,0.0
9654e8a9,2026-05-11 14:50:00,QQQ,0.31,1.003,713.6157,713.63,신호소멸,2e-05,0,1.0
9b719516,2026-05-11 14:59:00,QQQ,0.2316,1.003,712.8856,712.65,신호소멸,-0.00033,0,0.0
72f95e52,2026-05-11 15:43:00,QQQ,0.2523,1.003,712.4855,712.16,EOD_REDUCE_50%,-0.000457,0,0.0
80ffd8db,2026-05-12 09:46:00,QQQ,0.2787,0.942,709.7355,708.02,신호소멸,-0.002417,0,0.0
373943bb,2026-05-12 10:01:00,QQQ,0.216,0.942,705.9553,705.7,신호소멸,-0.000362,0,0.0
8c5c5b8b,2026-05-12 10:24:00,QQQ,0.2136,0.942,707.3354,706.71,신호소멸,-0.000884,0,0.0
260a073f,2026-05-12 10:35:00,QQQ,0.2108,0.942,704.0252,704.875,신호소멸,0.001207,0,1.0
adb5f898,2026-05-12 10:46:00,QQQ,0.4085,0.942,704.6752,703.65,신호소멸,-0.001455,0,0.0
510c5a49,2026-05-12 11:00:00,QQQ,0.2006,0.942,703.3152,702.65,신호소멸,-0.000946,0,0.0
9c0c7f8b,2026-05-12 11:19:00,QQQ,0.2303,0.942,701.005,700.7901,신호소멸,-0.000307,0,0.0
7177def4,2026-05-12 11:29:00,QQQ,0.3932,0.942,699.645,700.67,신호소멸,0.001465,0,1.0
a02a8810,2026-05-12 11:54:00,QQQ,0.2032,0.942,700.125,699.03,신호소멸,-0.001564,0,0.0
e7ca6726,2026-05-12 12:05:00,QQQ,0.3313,0.942,700.255,700.11,신호소멸,-0.000207,0,0.0
8700b13b,2026-05-12 12:24:00,QQQ,0.3494,0.942,699.205,697.64,신호소멸,-0.002238,0,0.0
b07ae1b5,2026-05-12 12:52:00,QQQ,0.4015,0.942,697.5649,696.9901,신호소멸,-0.000824,0,0.0
77b5afa4,2026-05-12 13:03:00,QQQ,0.2068,0.942,697.4199,698.44,신호소멸,0.001463,0,1.0
e192286e,2026-05-12 13:20:00,QQQ,0.2019,0.942,699.945,700.23,신호소멸,0.000407,0,1.0
8091ad31,2026-05-12 14:00:00,QQQ,0.2285,0.942,701.0451,701.43,신호소멸,0.000549,0,1.0
f807364b,2026-05-12 14:24:00,QQQ,0.2597,0.942,701.9051,702.95,신호소멸,0.001489,0,1.0
ee84a344,2026-05-12 14:36:00,QQQ,0.2707,0.942,702.6851,702.75,신호소멸,9.2e-05,0,1.0
8090dd23,2026-05-12 14:59:00,QQQ,0.3331,0.942,702.2152,704.11,신호소멸,0.002698,0,1.0
2c2d4fb9,2026-05-12 15:26:00,QQQ,0.2406,0.942,704.0552,704.07,신호소멸,2.1e-05,0,1.0
25f36507,2026-05-13 09:46:00,QQQ,0.3295,1.025,707.1553,707.83,신호소멸,0.000954,0,1.0
efb672a0,2026-05-13 10:09:00,QQQ,0.2425,1.025,706.1403,710.5,신호소멸,0.006174,0,1.0
afe8c76d,2026-05-13 10:55:00,QQQ,0.2123,1.025,710.6155,710.5,신호소멸,-0.000163,0,0.0
24d9f70a,2026-05-13 11:13:00,QQQ,0.2225,1.025,710.5355,711.05,신호소멸,0.000724,0,1.0
21166066,2026-05-13 11:20:00,QQQ,0.2924,1.025,711.1156,711.05,신호소멸,-9.2e-05,0,0.0
f05ca1b4,2026-05-13 11:27:00,QQQ,0.5615,1.025,710.4205,710.6599,신호소멸,0.000337,0,1.0
139b8b80,2026-05-13 11:40:00,QQQ,0.2863,1.025,711.1256,713.6001,신호소멸,0.00348,0,1.0
8bdb8d74,2026-05-13 12:15:00,QQQ,0.366,1.025,712.4355,713.6001,신호소멸,0.001635,0,1.0
c5057a33,2026-05-13 12:53:00,QQQ,0.3179,1.025,713.4725,713.99,신호소멸,0.000725,0,1.0
83913be7,2026-05-13 13:05:00,QQQ,0.2681,1.025,714.4158,714.63,신호소멸,0.0003,0,1.0
f15e8b48,2026-05-13 13:26:00,QQQ,0.4329,1.025,714.7157,714.68,신호소멸,-5e-05,0,0.0
db34824f,2026-05-13 13:36:00,QQQ,0.3587,1.025,714.3757,714.7,신호소멸,0.000454,0,1.0
00887c60,2026-05-13 14:07:00,QQQ,0.218,1.025,714.5557,715.49,신호소멸,0.001308,0,1.0
8a23a510,2026-05-13 14:26:00,QQQ,0.2849,1.025,716.4158,716.146,신호소멸,-0.000377,0,0.0
0f212097,2026-05-13 14:57:00,QQQ,0.2742,1.025,715.1258,715.525,신호소멸,0.000558,0,1.0
